"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","102",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","378","cy.reload() - reload the page","Navigation","2026-01-16","passed","2026-01-16","","","",""
"","302","cy.request() - verify response using BDD syntax","Network Requests","2026-01-16","passed","2026-01-16","","","",""
"","797",".uncheck() - uncheck a checkbox element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","103",".eq() - get a DOM element at a specific index","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","117",".nextAll() - get all next sibling DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","120",".its() - get properties on the current subject","Connectors","2026-01-16","passed","2026-01-16","","","",""
"","995","cy.go() - go back or forward in the browser's history","Navigation","2026-01-16","passed","2026-01-16","","","",""
"","147",".trigger() - trigger an event on a DOM element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","812",".check() - check a checkbox or radio element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","100",".next() - get next sibling DOM element","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","87","Get current spec information","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.spec","",""
"","166","cy.getAllCookies() - get all browser cookies","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","103","yields the original subject without return","Connectors","2026-01-16","passed","2026-01-16","",".then()","",""
"","197","cy.hash() - get the current URL hash","Location","2026-01-16","passed","2026-01-16","","","",""
"","139",".scrollIntoView() - scroll an element into view","Actions","2026-01-16","passed","2026-01-16","","","",""
"","109",".parents() - get parent DOM elements from DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","249","cy.get() - query DOM elements","Querying","2026-01-16","passed","2026-01-16","","","",""
"","209","cy.clearCookie() - clear a browser cookie","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","551","cy.request() - make an XHR request","Network Requests","2026-01-16","passed","2026-01-16","","","",""
"","417","can add new todo items","example to-do app","2026-01-16","passed","2026-01-16","","","",""
"","262","can delete all completed tasks","example to-do app","2026-01-16","passed","2026-01-16","","with a checked task","",""
"","94",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","112","Get environment variables","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.env()","",""
"","86","Get current version of Cypress being run","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.version","",""
"","611",".as() - alias a route for later use","Aliasing","2026-01-16","passed","2026-01-16","","","",""
"","1588","retries the should callback until assertions pass","Assertions","2026-01-16","passed","2026-01-16","","Explicit Assertions","",""
"","932","cy.exec() - execute a system command","Misc","2026-01-16","passed","2026-01-16","","","",""
"","2815","cy.viewport() - set the viewport size and dimension","Viewport","2026-01-16","passed","2026-01-16","","","",""
"","266","can filter for completed tasks","example to-do app","2026-01-16","passed","2026-01-16","","with a checked task","",""
"","289",".should() - make an assertion about the current subject","Assertions","2026-01-16","passed","2026-01-16","","Implicit Assertions","",""
"","312","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-01-16","passed","2026-01-16","","","",""
"","86","cy.url() - get the current URL","Location","2026-01-16","passed","2026-01-16","","","",""
"","179","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-01-16","passed","2026-01-16","","","",""
"","867","cy.screenshot() - take a screenshot","Misc","2026-01-16","passed","2026-01-16","","Cypress.Screenshot","",""
"","92",".last() - get last DOM element","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","91","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-01-16","passed","2026-01-16","","","",""
"","94","cy.fixture() or require - load a fixture","Files","2026-01-16","passed","2026-01-16","","","",""
"","3771",".type() - type into a DOM element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","354","cy.getCookie() - get a browser cookie","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","105","cy.root() - query the root DOM element","Querying","2026-01-16","passed","2026-01-16","","","",""
"","319","cy.fixture() - load a fixture","Files","2026-01-16","passed","2026-01-16","","","",""
"","101",".filter() - get DOM elements that match the selector","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","93","yields the value yielded by the last Cypress command inside","Connectors","2026-01-16","passed","2026-01-16","",".then()","",""
"","191","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-01-16","passed","2026-01-16","","","",""
"","150",".focus() - focus on a DOM element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","91","assert - assert shape of an object","Assertions","2026-01-16","passed","2026-01-16","","Explicit Assertions","",""
"","97","can throw any error","Assertions","2026-01-16","passed","2026-01-16","","Explicit Assertions","",""
"","100",".within() - query DOM elements within a specific element","Querying","2026-01-16","passed","2026-01-16","","","",""
"","86","Get underlying OS name","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.platform","",""
"","113",".and() - chain multiple assertions together","Assertions","2026-01-16","passed","2026-01-16","","Implicit Assertions","",""
"","31","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-01-16","passed","2026-01-16","","","",""
"","1981",".click() - click on a DOM element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","96",".not() - remove DOM elements from set of DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","101",".prev() - get previous sibling DOM element","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","227","cy.request() with query parameters","Network Requests","2026-01-16","passed","2026-01-16","","","",""
"","366","cy.request() - save response in the shared test context","Network Requests","2026-01-16","passed","2026-01-16","","","",""
"","226","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","100",".prevAll() - get all previous sibling DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","240",".children() - get child DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","116","cy.location() - get window.location","Location","2026-01-16","passed","2026-01-16","","","",""
"","183","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","2026-01-16","passed","2026-01-16","","","",""
"","371","cy.request() - pass result to the second request","Network Requests","2026-01-16","passed","2026-01-16","","","",""
"","127","Get and set configuration options","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.config()","",""
"","342","can filter for uncompleted tasks","example to-do app","2026-01-16","passed","2026-01-16","","with a checked task","",""
"","389",".blur() - blur off a DOM element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","169","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-01-16","passed","2026-01-16","","","",""
"","127","cy.setCookie() - set a browser cookie","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","872",".select() - select an option in a <select> element","Actions","2026-01-16","passed","2026-01-16","","","",""
"","108",".invoke() - invoke a function on the current subject","Connectors","2026-01-16","passed","2026-01-16","","","",""
"","185","cy.window() - get the global window object","Window","2026-01-16","passed","2026-01-16","","","",""
"","529","displays two todo items by default","example to-do app","2026-01-16","passed","2026-01-16","","","",""
"","91","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-01-16","passed","2026-01-16","","","",""
"","112","cy.readFile() - read file contents","Files","2026-01-16","passed","2026-01-16","","","",""
"","261",".each() - iterate over an array of elements","Connectors","2026-01-16","passed","2026-01-16","","","",""
"","194","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-01-16","passed","2026-01-16","","","",""
"","124","invokes a callback function with the current subject","Connectors","2026-01-16","passed","2026-01-16","",".then()","",""
"","2131","cy.scrollTo() - scroll the window or element to a position","Actions","2026-01-16","passed","2026-01-16","","","",""
"","26","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-01-16","passed","2026-01-16","","","",""
"","4439","cy.wait() - wait for a specific amount of time","Waiting","2026-01-16","passed","2026-01-16","","","",""
"","136",".find() - get descendant DOM elements of the selector","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","135","cy.contains() - query DOM elements with matching content","Querying","2026-01-16","passed","2026-01-16","","","",""
"","100","matches unknown text between two elements","Assertions","2026-01-16","passed","2026-01-16","","Explicit Assertions","",""
"","169","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-01-16","passed","2026-01-16","","","",""
"","191","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-01-16","passed","2026-01-16","","","",""
"","107","pass your own callback function to should()","Assertions","2026-01-16","passed","2026-01-16","","Explicit Assertions","",""
"","287","cy.focused() - get the DOM element that has focus","Misc","2026-01-16","passed","2026-01-16","","","",""
"","93","Control what is printed to the Command Log","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.log","",""
"","102",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-01-16","passed","2026-01-16","","Cypress.dom","",""
"","98",".siblings() - get all sibling DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
"","101","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-01-16","passed","2026-01-16","","Cypress.Screenshot","",""
"","102",".parent() - get parent DOM element from DOM elements","Traversal","2026-01-16","passed","2026-01-16","","","",""
